epoch,acc,loss,lr,val_acc,val_loss
0,0.35668000073730943,2.441136019229889,0.001,0.36680000081658365,2.1896989166736605
1,0.43285999763011934,1.9227993922233582,0.001,0.42629999727010726,1.8632728922367097
2,0.46165999740362168,1.7366882760524749,0.001,0.40289999753236772,2.1605458140373228
3,0.48021999764442441,1.646184916496277,0.001,0.46069999635219572,1.6739225196838379
4,0.50089999675750729,1.5776310050487519,0.001,0.45619999825954438,1.7059204411506652
5,0.51201999658346176,1.5313736975193024,0.001,0.47470000058412554,1.6403520548343657
6,0.51995999640226365,1.4969530141353606,0.001,0.53509999722242352,1.4663078689575195
7,0.53341999608278279,1.4620988230705261,0.001,0.53759999454021457,1.4681077265739442
8,0.54345999771356579,1.4343485784530641,0.001,0.53779999673366552,1.4450764656066895
9,0.55077999770641328,1.4115175454616546,0.001,0.53039999842643737,1.4614833652973176
10,0.5578199977874756,1.3905412895679474,0.001,0.52699999570846556,1.5144139945507049
11,0.56417999762296678,1.3693391788005829,0.001,0.5177999967336655,1.5099307942390441
12,0.57083999782800676,1.3530522692203522,0.001,0.54249999642372126,1.4172996664047242
13,0.57645999771356582,1.335814453482628,0.001,0.5553000003099442,1.4416600358486176
14,0.58155999916791912,1.3212910556793214,0.001,0.55879999846220019,1.3923588967323304
15,0.58667999786138536,1.3046617345809937,0.001,0.53539999604225164,1.4970433354377746
16,0.5943399989008904,1.2908104565143586,0.001,0.57129999667406084,1.3614866542816162
17,0.59699999922513958,1.2818137255907058,0.001,0.56379999488592147,1.3730659794807434
18,0.60239999920129772,1.2696593030691148,0.001,0.56969999939203264,1.3587154424190522
19,0.60720000004768371,1.2540359069108964,0.001,0.57699999630451204,1.3381102740764619
20,0.60825999957323074,1.2504829405546187,0.001,0.58389999717473984,1.3320280611515045
21,0.61355999916791915,1.2322795079946518,0.001,0.58479999750852585,1.3307685303688048
22,0.61837999922037123,1.2275242501497268,0.001,0.52169999778270726,1.5152422344684602
23,0.62239999955892567,1.2195271675586701,0.001,0.58419999927282329,1.3474787116050719
24,0.62320000100135808,1.2112891017198562,0.001,0.58989999771118162,1.3014087355136872
25,0.62857999956607824,1.2005547691583633,0.001,0.58229999780654906,1.3227069592475891
26,0.6283199993371964,1.1998404911756515,0.001,0.58589999765157696,1.3448006105422974
27,0.62831999927759175,1.1968125414848327,0.001,0.57169999748468403,1.3410213363170624
28,0.63366000062227246,1.1847537090778351,0.001,0.59939999908208852,1.2804469674825669
29,0.6353800009489059,1.1762741887569428,0.001,0.60559999763965611,1.2688525807857514
30,0.63995999926328662,1.1748451141119003,0.001,0.59109999775886535,1.2941938769817352
31,0.64008000123500819,1.1664159533977509,0.001,0.58609999358654019,1.3439175033569335
32,0.64484000086784365,1.1613426519632339,0.001,0.60919999957084658,1.2930614304542543
33,0.64702000033855434,1.1548551820516586,0.001,0.59799999862909314,1.3119037061929704
34,0.64844000160694126,1.1551414885520934,0.001,0.59029999911785125,1.3308948040008546
35,0.64955999982357027,1.145197023510933,0.001,0.60560000032186512,1.2815631198883057
36,0.6819200011491775,1.0516801688671111,0.000316228,0.6510999995470047,1.1574719166755676
37,0.69128000140190127,1.0232185877561568,0.000316228,0.64790000081062316,1.1714910000562668
38,0.69382000076770778,1.0059396443367004,0.000316228,0.64580000102519985,1.1661507177352906
39,0.69918000137805936,0.99619142150878903,0.000316228,0.6475000005960464,1.1782756769657134
40,0.70186000204086307,0.98438614749908449,0.000316228,0.64820000410079959,1.1580318695306777
41,0.70394000089168551,0.97468898558616635,0.000316228,0.6439999997615814,1.1804475718736649
42,0.70654000067710876,0.96882124161720273,0.000316228,0.65040000021457667,1.1623326420783997
43,0.7207000007629395,0.92635375285148625,0.0001,0.65849999904632572,1.1357737290859222
44,0.72730000102519987,0.91128729283809662,0.0001,0.66400000035762785,1.1287699931859969
45,0.72816000092029576,0.90820800864696505,0.0001,0.6629000014066696,1.1233242416381837
46,0.72914000082015995,0.90103176236152649,0.0001,0.6627000033855438,1.1291035336256028
47,0.73192000019550318,0.89298657155036931,0.0001,0.66100000321865082,1.1304697436094284
48,0.73396000051498411,0.88783367705345151,0.0001,0.6641000026464462,1.1310738176107407
49,0.73234000027179713,0.88646547579765322,0.0001,0.66090000212192535,1.1336133503913879
50,0.73620000064373015,0.87850502145290377,0.0001,0.66569999933242796,1.1323137271404267
51,0.73707999956607817,0.87888116240501402,0.0001,0.66440000116825104,1.1324788820743561
52,0.74143999969959262,0.85865361332893375,3.16228e-05,0.66689999997615812,1.1262155276536943
53,0.74390000081062313,0.85409761917591098,3.16228e-05,0.66529999971389775,1.1272896820306777
54,0.74300000095367436,0.85285563147068022,3.16228e-05,0.66550000071525572,1.1295998883247376
55,0.74163999927043911,0.85396831023693087,3.16228e-05,0.66769999980926509,1.1298386752605438
